Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,season
0.5010592622177514,0.46982201597816303,0.0,0.0,73.21,100.0,900,0,1,0,1
0.6020599913279624,0.6493348587121419,0.0,0.0,66.77,100.0,1800,0,1,0,1
0.5105450102066121,0.5158738437116791,0.0,0.0,70.28,100.0,2700,0,1,0,1
0.5198279937757188,0.5514499979728752,0.0,0.0,68.09,100.0,3600,0,1,0,1
0.5820633629117087,0.6532125137753437,0.0,0.0,64.72,100.0,4500,0,1,0,1
0.5158738437116791,0.5514499979728752,0.0,0.0,67.76,100.0,5400,0,1,0,1
0.5563025007672873,0.617000341120899,0.0,0.0,65.62,100.0,6300,0,1,0,1
0.5563025007672873,0.631443769013172,0.0,0.0,64.37,100.0,7200,0,1,0,1
0.5158738437116791,0.561101383649056,0.0,0.0,66.94,100.0,8100,0,1,0,1
0.5774917998372253,0.6739419986340878,0.0,0.0,62.51,100.0,9000,0,1,0,1
0.5390760987927766,0.6053050461411095,0.0,0.0,65.14,100.0,9900,0,1,0,1
0.5105450102066121,0.561101383649056,0.0,0.0,66.49,100.0,10800,0,1,0,1
0.5976951859255123,0.696356388733332,0.0,0.0,62.32,100.0,11700,0,1,0,1
0.5198279937757188,0.5728716022004802,0.0,0.0,66.27,100.0,12600,0,1,0,1
0.5198279937757188,0.5854607295085007,0.0,0.0,65.19,100.0,13500,0,1,0,1
0.5899496013257077,0.6989700043360189,0.0,0.0,61.4,100.0,14400,0,1,0,1
0.5158738437116791,0.5820633629117087,0.0,0.0,65.14,100.0,15300,0,1,0,1
0.5514499979728752,0.631443769013172,0.0,0.0,63.95,100.0,16200,0,1,0,1
0.5728716022004802,0.6570558528571039,0.0,0.0,63.58,100.0,17100,0,1,0,1
0.5198279937757188,0.5563025007672873,0.0,0.0,67.68,100.0,18000,0,1,0,1
0.5514499979728752,0.60959440922522,0.0,0.0,65.84,100.0,18900,0,1,0,1
0.5514499979728752,0.6127838567197355,0.0,0.0,65.56,100.0,19800,0,1,0,1
0.5158738437116791,0.5428254269591799,0.0,0.0,68.48,100.0,20700,0,1,0,1
0.5774917998372253,0.6354837468149122,0.0,0.0,65.85,100.0,21600,0,1,0,1
0.5250448070368452,0.561101383649056,0.0,0.0,67.72,100.0,22500,0,1,0,1
0.5105450102066121,0.5250448070368452,0.0,0.0,69.52,100.0,23400,0,1,0,1
0.5899496013257077,0.6493348587121419,0.0,0.0,65.73,100.0,24300,0,1,0,1
0.5198279937757188,0.5477747053878226,0.0,0.0,68.4,100.0,25200,0,1,0,1
0.5158738437116791,0.5428254269591799,0.0,0.0,68.48,100.0,26100,0,1,0,1
0.5854607295085007,0.6766936096248666,0.0,0.0,62.97,100.0,27000,0,1,0,1
0.505149978319906,0.5563025007672873,0.0,0.0,66.44,100.0,27900,0,1,0,1
0.5198279937757188,0.5774917998372253,0.0,0.0,65.88,100.0,28800,0,1,0,1
0.5774917998372253,0.6766936096248666,0.0,0.0,62.27,100.0,29700,0,1,0,1
0.5158738437116791,0.5728716022004802,0.0,0.0,65.94,100.0,30600,0,1,0,1
0.5428254269591799,0.6493348587121419,-0.4802194291665809,0.0,61.63,99.87,31500,0,1,0,1
0.5899496013257077,0.0,0.8003657152776349,0.0,100.0,99.25,32400,0,1,0,1
0.5563025007672873,0.0,0.8003657152776349,0.0,100.0,99.25,33300,0,1,0,1
0.6053050461411095,0.0,0.8003657152776349,0.0,100.0,99.25,34200,0,1,0,1
0.5932860670204573,0.0,0.8003657152776349,0.0,100.0,99.25,35100,0,1,0,1
0.561101383649056,0.0,0.8003657152776349,0.0,100.0,99.25,36000,0,1,0,1
0.60959440922522,0.0,0.8003657152776349,0.0,100.0,99.25,36900,0,1,0,1
0.5693739096150459,0.0,0.8003657152776349,0.0,100.0,99.25,37800,0,1,0,1
0.5563025007672873,0.0,0.8003657152776349,0.0,100.0,99.25,38700,0,1,0,1
0.6242820958356683,0.0,0.8003657152776349,0.0,100.0,99.25,39600,0,1,0,1
0.5428254269591799,0.0,0.7520484478194386,0.0,100.0,99.25,40500,0,1,0,1
0.5390760987927766,0.0,0.6830470382388496,0.0,100.0,99.25,41400,0,1,0,1
0.6020599913279624,0.0,0.8003657152776349,0.0,100.0,99.25,42300,0,1,0,1
0.5428254269591799,0.0,0.6599162000698503,0.0,100.0,99.25,43200,0,1,0,1
0.5563025007672873,0.0,0.8003657152776349,0.0,100.0,99.25,44100,0,1,0,1
0.6283889300503115,0.0,0.8003657152776349,0.0,100.0,99.25,45000,0,1,0,1
0.5646660642520893,0.0,0.8003657152776349,0.0,100.0,99.25,45900,0,1,0,1
0.5646660642520893,0.0,0.8003657152776349,0.0,100.0,99.25,46800,0,1,0,1
0.6283889300503115,0.0,0.8003657152776349,0.0,100.0,99.25,47700,0,1,0,1
0.561101383649056,0.0,0.8003657152776349,0.0,100.0,99.25,48600,0,1,0,1
0.5646660642520893,0.0,0.8003657152776349,0.0,100.0,99.25,49500,0,1,0,1
0.631443769013172,0.0,0.8003657152776349,0.0,100.0,99.25,50400,0,1,0,1
0.561101383649056,0.0,0.8003657152776349,0.0,100.0,99.25,51300,0,1,0,1
0.5774917998372253,0.0,0.8003657152776349,0.0,100.0,99.25,52200,0,1,0,1
0.6127838567197355,0.0,0.8003657152776349,0.0,100.0,99.25,53100,0,1,0,1
0.561101383649056,0.0,0.8003657152776349,0.0,100.0,99.25,54000,0,1,0,1
0.5932860670204573,0.0,0.8003657152776349,0.0,100.0,99.25,54900,0,1,0,1
0.6127838567197355,0.0,0.8003657152776349,0.0,100.0,99.25,55800,0,1,0,1
0.5563025007672873,0.0,0.8003657152776349,0.0,100.0,99.25,56700,0,1,0,1
